contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid,ask,bid_ask_spread,days_to_expire,optionType
SLV260227C00020000,2026-02-23 17:33:39+00:00,20.0,58.85,1.0,9,78.835,96.47,57.6,57.95,0.35,4.143,c
SLV260227C00025000,2026-02-20 15:08:55+00:00,25.0,48.39,2.0,3,73.435,80.31,52.65,52.95,0.3,7.244,c
SLV260227C00030000,2026-02-20 20:54:53+00:00,30.0,46.4,10.0,19,76.409,84.31,47.6,47.95,0.35,7.004,c
SLV260227C00035000,2026-02-24 18:55:09+00:00,35.0,44.14,3.0,20,79.22,89.21,42.55,42.85,0.3,3.087,c
SLV260227C00040000,2026-02-24 18:56:12+00:00,40.0,39.26,4.0,41,79.195,89.29,37.55,37.85,0.3,3.086,c
SLV260227C00045000,2026-02-25 21:12:31+00:00,45.0,35.62,1.0,16,80.07,87.15,32.5,32.85,0.35,1.991,c
SLV260227C00050000,2026-02-25 20:56:21+00:00,50.0,30.72,42.0,347,80.68,87.71,27.6,27.85,0.25,2.003,c
SLV260227C00051000,2026-02-19 14:33:47+00:00,51.0,19.4,1.0,67,79.145,83.39,26.65,26.95,0.3,8.268,c
SLV260227C00052000,2026-02-12 15:18:16+00:00,52.0,23.32,6.0,5,73.17,77.01,25.6,25.85,0.25,15.237,c
SLV260227C00053000,2026-02-17 16:02:12+00:00,53.0,13.95,2.0,3,73.17,77.01,24.7,25.0,0.3,10.207,c
SLV260227C00054000,2026-02-23 20:24:31+00:00,54.0,26.0,6.0,9,79.96,98.24,23.4,24.1,0.7,4.025,c
SLV260227C00055000,2026-02-25 20:42:05+00:00,55.0,26.05,1.0,85,81.025,87.96,22.5,22.85,0.35,2.012,c
SLV260227C00056000,2026-02-25 20:42:05+00:00,56.0,25.05,1.0,23,81.025,87.96,21.7,22.0,0.3,2.012,c
SLV260227C00057000,2026-02-26 15:34:03+00:00,57.0,20.7,3.0,13,77.68,83.14,20.6,20.85,0.25,1.226,c
SLV260227C00058000,2026-02-26 15:34:03+00:00,58.0,19.7,3.0,13,77.68,83.14,19.55,19.8,0.25,1.226,c
SLV260227C00059000,2026-02-26 15:26:44+00:00,59.0,19.02,2.0,230,77.95,82.61,18.5,18.85,0.35,1.231,c
SLV260227C00060000,2026-02-26 14:39:16+00:00,60.0,18.77,4.0,1172,78.645,82.48,17.55,17.85,0.3,1.264,c
SLV260227C00061000,2026-02-26 15:13:28+00:00,61.0,17.55,4.0,151,78.415,82.24,16.6,16.85,0.25,1.241,c
SLV260227C00062000,2026-02-26 14:42:17+00:00,62.0,16.75,1.0,136,78.56,81.93,15.65,15.85,0.2,1.262,c
SLV260227C00062500,2026-02-24 18:59:06+00:00,62.5,16.55,4.0,25,79.035,89.25,15.1,15.35,0.25,3.084,c
SLV260227C00063000,2026-02-26 14:56:34+00:00,63.0,15.42,1.0,176,78.347,81.84,14.7,14.95,0.25,1.252,c
SLV260227C00063500,2026-02-24 16:03:52+00:00,63.5,16.28,1.0,22,79.73,92.38,14.2,14.45,0.25,3.206,c
SLV260227C00064000,2026-02-26 15:18:12+00:00,64.0,13.94,4.0,160,78.02,82.45,13.6,13.85,0.25,1.237,c
SLV260227C00064500,2026-02-20 16:23:27+00:00,64.5,10.2,8.0,90,74.3,80.68,13.1,13.3,0.2,7.192,c
SLV260227C00065000,2026-02-26 15:34:49+00:00,65.0,12.7,11.0,1599,77.68,83.14,12.7,12.95,0.25,1.226,c
SLV260227C00065500,2026-02-24 19:53:20+00:00,65.5,12.35,1.0,156,78.907,89.07,12.1,12.4,0.3,3.046,c
SLV260227C00066000,2026-02-26 14:37:12+00:00,66.0,12.74,16.0,271,78.74,82.61,11.7,11.9,0.2,1.266,c
SLV260227C00066500,2026-02-25 19:51:18+00:00,66.5,16.06,4.0,120,82.536,86.99,11.15,11.35,0.2,2.048,c
SLV260227C00067000,2026-02-25 20:58:20+00:00,67.0,13.33,22.0,2763,79.935,87.12,10.75,11.0,0.25,2.001,c
SLV260227C00067500,2026-02-25 19:48:54+00:00,67.5,11.1,1.0,179,82.43,86.73,10.1,10.45,0.35,2.049,c
SLV260227C00068000,2026-02-26 15:22:55+00:00,68.0,10.19,4.0,257,78.13,82.52,9.75,10.0,0.25,1.234,c
SLV260227C00068500,2026-02-25 20:22:02+00:00,68.5,9.25,1.0,157,82.03,88.04,9.25,9.5,0.25,2.026,c
SLV260227C00069000,2026-02-25 20:57:56+00:00,69.0,11.7,271.0,402,80.523,87.62,8.7,8.95,0.25,2.001,c
SLV260227C00069500,2026-02-26 15:27:37+00:00,69.5,8.52,21.0,896,77.49,83.08,8.2,8.4,0.2,1.231,c
SLV260227C00070000,2026-02-26 15:19:43+00:00,70.0,8.2,60.0,10093,78.25,82.62,7.7,7.95,0.25,1.236,c
SLV260227C00070500,2026-02-26 14:55:40+00:00,70.5,8.02,2.0,549,78.4,81.62,7.25,7.5,0.25,1.253,c
SLV260227C00071000,2026-02-26 15:34:30+00:00,71.0,7.0,13.0,2337,77.975,83.29,6.8,7.05,0.25,1.226,c
SLV260227C00071500,2026-02-26 15:32:56+00:00,71.5,6.51,3.0,993,77.73,83.16,6.4,6.6,0.2,1.227,c
SLV260227C00072000,2026-02-26 15:28:51+00:00,72.0,5.65,15.0,1849,77.49,83.08,5.85,6.0,0.15,1.23,c
SLV260227C00072500,2026-02-26 15:16:30+00:00,72.5,5.81,5.0,732,77.957,82.37,5.5,5.75,0.25,1.239,c
SLV260227C00073000,2026-02-26 15:27:58+00:00,73.0,4.69,85.0,2365,77.22,82.6,4.95,5.25,0.3,1.231,c
SLV260227C00073500,2026-02-26 15:32:08+00:00,73.5,4.67,8.0,3610,77.73,83.16,4.5,4.75,0.25,1.228,c
SLV260227C00074000,2026-02-26 15:27:55+00:00,74.0,3.96,83.0,5547,77.22,82.6,4.1,4.3,0.2,1.231,c
SLV260227C00074500,2026-02-26 15:19:25+00:00,74.5,3.93,11.0,1927,78.25,82.62,3.65,3.85,0.2,1.237,c
SLV260227C00075000,2026-02-26 15:33:45+00:00,75.0,3.45,593.0,5140,77.785,83.21,3.25,3.5,0.25,1.227,c
SLV260227C00075500,2026-02-26 15:30:57+00:00,75.5,3.09,11.0,1175,77.77,83.13,2.96,3.1,0.14,1.229,c
SLV260227C00076000,2026-02-26 15:31:59+00:00,76.0,2.64,215.0,7736,77.705,83.14,2.6,2.69,0.09,1.228,c
SLV260227C00076500,2026-02-26 15:34:49+00:00,76.5,2.29,62.0,1482,77.68,83.14,2.33,2.38,0.05,1.226,c
SLV260227C00077000,2026-02-26 15:34:49+00:00,77.0,1.98,349.0,3141,77.68,83.14,1.97,2.0,0.03,1.226,c
SLV260227C00077500,2026-02-26 15:34:58+00:00,77.5,1.7,495.0,655,77.68,83.14,1.7,1.73,0.03,1.226,c
SLV260227C00078000,2026-02-26 15:34:12+00:00,78.0,1.44,3788.0,4852,77.68,83.14,1.49,1.52,0.03,1.226,c
SLV260227C00078500,2026-02-26 15:34:10+00:00,78.5,1.2,2493.0,3038,77.68,83.14,1.22,1.24,0.02,1.226,c
SLV260227C00079000,2026-02-26 15:34:43+00:00,79.0,1.05,3275.0,8311,77.68,83.14,1.02,1.05,0.03,1.226,c
SLV260227C00079500,2026-02-26 15:34:03+00:00,79.5,0.84,1472.0,1081,77.68,83.14,0.83,0.85,0.02,1.226,c
SLV260227C00080000,2026-02-26 15:34:49+00:00,80.0,0.7,4417.0,30854,77.68,83.14,0.67,0.7,0.03,1.226,c
SLV260227C00080500,2026-02-26 15:30:08+00:00,80.5,0.58,920.0,3917,77.77,83.13,0.54,0.57,0.03,1.229,c
SLV260227C00081000,2026-02-26 15:32:41+00:00,81.0,0.47,1537.0,5175,77.73,83.16,0.46,0.48,0.02,1.227,c
