contractSymbol,lastTradeDate,strike,lastPrice,volume,openInterest,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,days_to_expire,optionType
GOOG260227C00165000,2026-02-25 17:07:33+00:00,165.0,146.51,6.0,27,311.445,33.7,3.75,2.161,c
GOOG260227C00170000,2026-02-24 20:43:06+00:00,170.0,142.64,1.0,42,311.1,35.32,4.1,3.012,c
GOOG260227C00175000,2026-02-24 18:41:35+00:00,175.0,136.27,25.0,44,310.51,34.76,3.9,3.096,c
GOOG260227C00180000,2026-02-24 20:47:36+00:00,180.0,131.24,12.0,38,311.06,35.19,3.9,3.009,c
GOOG260227C00190000,2026-02-24 20:47:14+00:00,190.0,121.25,9.0,9,311.185,35.21,4.1,3.009,c
GOOG260227C00195000,2026-02-24 20:47:52+00:00,195.0,116.28,10.0,13,311.06,35.19,4.15,3.008,c
GOOG260227C00200000,2026-02-24 20:47:31+00:00,200.0,111.28,9.0,20,311.06,35.19,3.6,3.009,c
GOOG260227C00205000,2026-02-24 20:47:58+00:00,205.0,106.31,11.0,13,311.06,35.19,3.7,3.008,c
GOOG260227C00210000,2026-02-25 16:22:29+00:00,210.0,100.45,2.0,116,310.43,34.06,3.75,2.193,c
GOOG260227C00215000,2026-02-24 20:42:39+00:00,215.0,96.17,3.0,7,311.1,35.32,3.8,3.012,c
GOOG260227C00220000,2026-02-24 20:42:29+00:00,220.0,91.2,3.0,77,310.815,35.39,3.6,3.012,c
GOOG260227C00225000,2026-02-13 20:49:20+00:00,225.0,81.05,1.0,2,301.3,36.57,3.6,14.007,c
GOOG260227C00230000,2026-02-18 16:08:20+00:00,230.0,74.79,,0,301.3,36.57,4.15,9.203,c
GOOG260227C00235000,2026-02-25 14:49:55+00:00,235.0,78.22,1.0,19,313.0,33.93,3.55,2.257,c
GOOG260227C00240000,2026-02-24 16:06:54+00:00,240.0,70.92,1.0,8,310.71,35.04,3.55,3.204,c
GOOG260227C00245000,2026-02-24 20:51:13+00:00,245.0,66.57,6.0,133,311.43,35.1,3.6,3.006,c
GOOG260227C00250000,2026-02-24 17:03:47+00:00,250.0,61.51,6.0,25,311.18,34.71,3.6,3.164,c
GOOG260227C00255000,2026-02-24 19:10:29+00:00,255.0,55.93,6.0,21,310.51,34.96,4.15,3.076,c
GOOG260227C00260000,2026-02-23 20:00:43+00:00,260.0,51.6,8.0,80,310.482,36.82,3.0,4.041,c
GOOG260227C00265000,2026-02-24 19:30:48+00:00,265.0,45.63,2.0,42,310.6,35.16,2.85,3.062,c
GOOG260227C00270000,2026-02-24 20:52:40+00:00,270.0,41.35,3.0,36,311.43,35.09,2.85,3.005,c
GOOG260227C00272500,2026-02-17 17:43:17+00:00,272.5,29.35,,2,301.3,36.57,2.9,10.137,c
GOOG260227C00275000,2026-02-23 17:31:35+00:00,275.0,38.4,1.0,61,313.85,36.19,2.95,4.145,c
GOOG260227C00277500,2026-02-18 20:54:40+00:00,277.5,28.05,,2,301.3,36.57,2.95,9.004,c
GOOG260227C00280000,2026-02-24 20:33:45+00:00,280.0,30.3,2.0,99,310.98,35.6,1.7,3.018,c
GOOG260227C00282500,2026-02-25 16:11:25+00:00,282.5,27.3,6.0,50,309.425,34.22,2.35,2.2,c
GOOG260227C00285000,2026-02-25 15:14:55+00:00,285.0,27.25,1.0,87,311.905,34.01,1.75,2.24,c
GOOG260227C00287500,2026-02-24 17:09:33+00:00,287.5,23.85,15.0,19,311.36,34.63,2.4,3.16,c
GOOG260227C00290000,2026-02-25 18:28:08+00:00,290.0,20.64,8.0,108,310.42,34.25,1.8,2.105,c
GOOG260227C00292500,2026-02-24 18:16:45+00:00,292.5,21.18,3.0,32,311.205,34.6,3.7,3.113,c
GOOG260227C00295000,2026-02-25 17:02:23+00:00,295.0,16.85,8.0,149,311.58,33.73,1.1,2.165,c
GOOG260227C00297500,2026-02-25 15:56:15+00:00,297.5,13.2,20.0,237,309.95,34.4,1.35,2.211,c
GOOG260227C00300000,2026-02-25 18:33:50+00:00,300.0,11.2,167.0,3034,310.383,34.23,0.65,2.102,c
GOOG260227C00302500,2026-02-25 18:24:52+00:00,302.5,9.15,66.0,328,310.41,34.24,0.45,2.108,c
GOOG260227C00305000,2026-02-25 18:33:09+00:00,305.0,7.0,630.0,1217,310.31,34.22,0.15,2.102,c
