contractSymbol,lastTradeDate,strike,lastPrice,volume,underlyingPriceAtTrade,volatilityIndex,bid_ask_spread,optionType
AAPL260225C00205000,2026-02-20 20:25:54+00:00,205.0,58.7,3.0,263.65,28.85,2.3,c
AAPL260225C00210000,2026-02-24 20:08:18+00:00,210.0,62.0,2.0,271.84,28.97,2.1,c
AAPL260225C00220000,2026-02-23 19:11:04+00:00,220.0,48.09,1.0,267.7,28.6,2.15,c
AAPL260225C00225000,2026-02-24 16:12:12+00:00,225.0,48.95,22.0,274.68,28.16,2.3,c
AAPL260225C00230000,2026-02-20 20:37:19+00:00,230.0,33.52,1.0,263.19,28.79,2.15,c
AAPL260225C00235000,2026-02-24 20:52:15+00:00,235.0,37.12,3.0,272.2,28.79,2.3,c
AAPL260225C00240000,2026-02-25 16:13:08+00:00,240.0,34.38,120.0,274.03,27.64,0.95,c
AAPL260225C00242500,2026-02-13 15:19:15+00:00,242.5,18.37,,263.61,30.54,2.3,c
AAPL260225C00245000,2026-02-24 17:32:34+00:00,245.0,27.67,2.0,272.35,28.4,2.45,c
AAPL260225C00247500,2026-02-24 17:32:34+00:00,247.5,25.24,4.0,272.35,28.4,2.3,c
AAPL260225C00250000,2026-02-25 15:09:00+00:00,250.0,23.19,1.0,272.7,27.69,2.1,c
AAPL260225C00252500,2026-02-25 15:09:00+00:00,252.5,20.61,1.0,272.7,27.69,2.25,c
AAPL260225C00255000,2026-02-25 16:16:36+00:00,255.0,19.11,12.0,274.155,27.65,1.35,c
AAPL260225C00257500,2026-02-25 14:56:20+00:00,257.5,15.85,4.0,273.37,27.77,1.8,c
AAPL260225C00260000,2026-02-25 16:37:20+00:00,260.0,13.32,20.0,273.025,27.59,0.7,c
AAPL260225C00262500,2026-02-25 16:34:50+00:00,262.5,11.01,13.0,273.31,27.54,0.65,c
AAPL260225C00265000,2026-02-25 16:42:35+00:00,265.0,8.18,294.0,273.345,27.57,1.05,c
AAPL260225C00267500,2026-02-25 16:45:09+00:00,267.5,5.92,493.0,273.22,27.51,0.55,c
AAPL260225C00270000,2026-02-25 16:45:45+00:00,270.0,3.33,3406.0,273.205,27.53,0.25,c
AAPL260225C00272500,2026-02-25 16:50:43+00:00,272.5,1.23,28276.0,273.3,27.54,0.02,c
AAPL260225C00275000,2026-02-25 16:50:11+00:00,275.0,0.21,64332.0,273.225,27.53,0.02,c
AAPL260225C00277500,2026-02-25 16:49:56+00:00,277.5,0.04,28120.0,273.225,27.53,0.01,c
AAPL260225C00280000,2026-02-25 16:49:25+00:00,280.0,0.03,14021.0,273.21,27.54,0.01,c
AAPL260225C00282500,2026-02-25 16:43:19+00:00,282.5,0.02,2554.0,273.345,27.57,0.01,c
AAPL260225C00285000,2026-02-25 16:32:44+00:00,285.0,0.01,1480.0,273.649,27.52,0.01,c
AAPL260225C00287500,2026-02-25 15:27:26+00:00,287.5,0.01,100.0,273.505,27.53,0.01,c
AAPL260225C00290000,2026-02-25 15:46:21+00:00,290.0,0.01,112.0,273.55,27.72,0.01,c
AAPL260225C00292500,2026-02-24 15:41:34+00:00,292.5,0.01,102.0,273.84,28.16,0.01,c
AAPL260225C00295000,2026-02-25 15:10:43+00:00,295.0,0.01,1.0,272.452,27.72,0.01,c
AAPL260225C00300000,2026-02-25 14:38:10+00:00,300.0,0.05,1.0,271.525,28.14,0.01,c
AAPL260225C00305000,2026-02-24 16:36:35+00:00,305.0,0.01,2.0,273.1,28.38,0.01,c
AAPL260225C00310000,2026-02-24 14:30:14+00:00,310.0,0.01,1.0,269.78,29.07,0.01,c
AAPL260225C00315000,2026-02-24 18:09:21+00:00,315.0,0.08,179.0,272.49,28.26,0.01,c
AAPL260225C00350000,2026-02-24 18:45:39+00:00,350.0,0.01,44.0,272.27,28.54,0.01,c
AAPL260225P00205000,2026-02-25 14:30:01+00:00,205.0,0.01,8.0,272.16,28.29,0.01,p
AAPL260225P00210000,2026-02-24 20:57:29+00:00,210.0,0.01,7709.0,272.28,28.76,0.01,p
AAPL260225P00215000,2026-02-24 20:57:09+00:00,215.0,0.01,1248.0,272.28,28.76,0.01,p
AAPL260225P00220000,2026-02-24 15:04:32+00:00,220.0,0.01,1.0,273.76,28.75,0.01,p
AAPL260225P00225000,2026-02-25 16:03:56+00:00,225.0,0.03,180.0,274.059,27.63,0.01,p
AAPL260225P00230000,2026-02-25 16:03:56+00:00,230.0,0.08,180.0,274.059,27.63,0.01,p
AAPL260225P00235000,2026-02-25 16:04:27+00:00,235.0,0.01,10.0,274.059,27.63,0.01,p
AAPL260225P00237500,2026-02-23 18:29:32+00:00,237.5,0.02,1.0,269.24,28.47,0.01,p
AAPL260225P00240000,2026-02-24 15:48:07+00:00,240.0,0.01,1.0,274.185,28.12,0.01,p
AAPL260225P00242500,2026-02-25 16:15:24+00:00,242.5,0.01,20.0,274.18,27.62,0.01,p
AAPL260225P00245000,2026-02-25 15:15:02+00:00,245.0,0.01,9.0,272.71,27.66,0.01,p
AAPL260225P00247500,2026-02-24 19:35:05+00:00,247.5,0.02,4.0,271.96,28.89,0.01,p
AAPL260225P00250000,2026-02-25 15:14:49+00:00,250.0,0.01,12.0,272.71,27.66,0.01,p
AAPL260225P00252500,2026-02-25 15:49:13+00:00,252.5,0.01,90.0,273.385,27.71,0.01,p
AAPL260225P00255000,2026-02-25 16:13:52+00:00,255.0,0.01,662.0,274.23,27.64,0.01,p
AAPL260225P00257500,2026-02-25 16:37:47+00:00,257.5,0.01,1274.0,273.16,27.58,0.01,p
AAPL260225P00260000,2026-02-25 16:34:12+00:00,260.0,0.02,1073.0,273.445,27.53,0.01,p
AAPL260225P00262500,2026-02-25 16:42:38+00:00,262.5,0.02,1749.0,273.345,27.57,0.01,p
AAPL260225P00265000,2026-02-25 16:49:49+00:00,265.0,0.03,3709.0,273.225,27.53,0.01,p
AAPL260225P00267500,2026-02-25 16:49:00+00:00,267.5,0.04,10104.0,273.21,27.54,0.01,p
AAPL260225P00270000,2026-02-25 16:50:39+00:00,270.0,0.1,32698.0,273.3,27.54,0.01,p
AAPL260225P00272500,2026-02-25 16:50:56+00:00,272.5,0.5,34821.0,273.3,27.54,0.01,p
AAPL260225P00275000,2026-02-25 16:49:32+00:00,275.0,2.02,9849.0,273.225,27.53,0.1,p
AAPL260225P00277500,2026-02-25 16:38:01+00:00,277.5,4.51,337.0,273.16,27.58,0.65,p
AAPL260225P00280000,2026-02-25 14:46:19+00:00,280.0,7.0,2.0,273.38,27.79,1.25,p
AAPL260225P00285000,2026-02-24 15:52:14+00:00,285.0,10.9,3.0,274.41,28.14,1.55,p
AAPL260225P00287500,2026-02-11 19:45:07+00:00,287.5,9.68,6.0,263.61,30.54,2.3,p
AAPL260225P00290000,2026-02-25 14:38:38+00:00,290.0,18.2,1.0,271.39,28.1,1.3,p
AAPL260225P00350000,2026-02-11 19:45:49+00:00,350.0,72.5,2.0,263.61,30.54,2.1,p
AAPL260227C00120000,2026-02-17 17:11:11+00:00,120.0,141.6,,263.61,30.54,2.55,c
AAPL260227C00150000,2026-02-02 15:20:02+00:00,150.0,114.81,1.0,263.61,30.54,3.25,c
AAPL260227C00170000,2026-02-20 18:50:11+00:00,170.0,94.1,1.0,264.0,28.73,3.2,c
AAPL260227C00175000,2026-02-25 16:44:32+00:00,175.0,98.47,2.0,273.22,27.51,3.2,c
AAPL260227C00185000,2026-02-23 19:16:52+00:00,185.0,82.82,1.0,267.55,28.7,3.1,c
AAPL260227C00190000,2026-02-23 15:32:10+00:00,190.0,77.4,2.0,267.305,28.4,3.15,c
AAPL260227C00195000,2026-02-19 15:08:17+00:00,195.0,68.44,1.0,263.11,29.78,3.3,c
AAPL260227C00200000,2026-02-20 18:27:13+00:00,200.0,63.78,1.0,263.635,29.34,2.9,c
AAPL260227C00205000,2026-02-09 14:33:31+00:00,205.0,70.65,3.0,263.61,30.54,3.4,c
